PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
10,0.006000000000000005,-0.013999999999999957,3,-1,20.0,1,1
-12,-0.09600000000000003,0.0,-13,-2,-24.0,1,0
-2,0.007000000000000006,-0.02300000000000002,2,-5,-4.0,0,0
-15,-0.04299999999999998,-0.014000000000000012,10,-3,-30.0,0,0
-13,0.025000000000000022,0.004999999999999949,7,-6,-26.0,0,0
12,0.03300000000000003,0.041000000000000036,8,6,24.0,1,1
3,0.03699999999999998,-0.05300000000000005,6,-9,6.0,1,1
-34,-0.11499999999999999,-0.24400000000000002,3,-17,-67.8,0,0
4,-0.025000000000000022,-0.008000000000000007,10,-2,8.0,1,1
2,-0.063,-0.124,-2,-6,4.0,1,1
-11,0.02899999999999997,0.07,-12,1,-22.0,1,0
-2,-0.02200000000000002,-0.09799999999999998,12,-6,-4.0,1,0
15,0.029000000000000026,0.08600000000000002,5,4,30.0,1,1
-3,-0.044999999999999984,0.04799999999999999,-5,8,-6.0,1,0
9,0.11599999999999999,0.08199999999999996,7,1,18.0,0,1
-18,-0.10099999999999998,-0.186,-10,-3,-36.0,1,0
3,0.020999999999999963,0.12,3,-7,6.0,0,1
-1,0.003999999999999948,-0.015000000000000013,5,-2,-2.0,1,0
-7,0.044999999999999984,-0.186,4,-5,-14.0,1,0
-22,-0.10599999999999998,-0.02400000000000002,-9,-4,-44.0,1,0
-3,0.0040000000000000036,0.008999999999999952,12,10,-6.0,1,0
5,-0.006000000000000005,-0.04899999999999999,0,2,10.0,0,1
15,0.059,0.07,0,1,30.0,0,1
-8,-0.11699999999999994,-0.029000000000000026,-6,-8,-16.0,0,0
-10,-0.08200000000000007,0.067,-13,-2,-20.0,1,0
10,0.057999999999999996,-0.124,26,6,20.0,0,1
-23,-0.15600000000000003,-0.249,-19,-7,-46.0,0,0
-23,-0.14899999999999997,-0.16699999999999998,-5,-3,-46.0,0,0
9,0.04200000000000004,0.09399999999999997,-7,-2,18.0,0,1
-6,-0.07900000000000001,-0.030999999999999972,-5,9,-12.0,1,0
11,0.020999999999999963,-0.04700000000000004,3,0,22.0,0,1
6,0.061,0.063,3,-2,12.0,0,1
13,0.13100000000000006,0.10999999999999999,4,6,26.0,1,1
-15,-0.11599999999999999,-0.09399999999999997,-16,-1,-30.0,1,0
3,0.02799999999999997,0.08700000000000002,4,8,6.2,0,1
-5,0.055999999999999994,0.030999999999999972,3,-8,-10.0,1,0
11,0.09399999999999997,0.07299999999999995,8,6,22.0,0,1
-3,0.046999999999999986,0.07999999999999996,6,8,-6.0,0,0
13,-0.0010000000000000009,0.122,12,2,26.0,1,1
-12,-0.12899999999999995,-0.15499999999999997,2,-4,-24.0,0,0
-12,-0.03600000000000003,-0.07700000000000001,3,-10,-24.0,0,0
-2,0.02699999999999997,-0.02799999999999997,-13,-1,-4.0,0,0
-8,-0.030000000000000027,-0.148,-19,1,-16.0,0,0
6,-0.031000000000000028,-0.023999999999999966,8,1,12.0,0,1
